Control_1	Control_2	Control_3	Heat_treated_1	Heat_treated_2	Heat_treated_3
g121	8.6440299523763	9.74397767197883	10.3938322534566	7.68977033893846	6.93804943198324	7.85692866991316
g122	14.489804885593	13.1989672600785	13.3017480266207	13.3196360499212	13.7201853634171	13.4758152551909
g123	11.570037797419	11.4080868209861	11.7186357528964	13.3638073867889	14.4388865288548	13.5190561263396
g124	8.42000443630251	8.27014593396331	8.61055721480608	9.50862964931535	9.49992296457667	8.76117308010446
g125	9.69258901243202	9.98790250616687	10.5796396225488	9.39428084679559	9.87319390418034	9.55175657369783
g126	9.12582781491775	9.52243518514234	9.60574474161523	8.08523072658914	8.08690241027204	8.74013679388498
g127	14.6266148502378	12.4894038757065	12.8403525167091	13.2066823275312	13.3991717311278	13.9738424020011
g128	8.49955230682703	7.85820695545231	7.96050027528524	9.30697344152513	10.4040852805863	9.49973954434096
g129	16.0111490225604	15.1247627641782	15.6769654777883	15.8101401501152	16.9418042299006	15.7775046210391
g130	11.180135857736	8.81527973333493	9.36279130298804	10.2553787982665	10.7874815994071	10.1873552391096
g131	13.1156440848462	12.6685909036382	12.9092562785648	12.0588653780914	12.103903654369	12.2209193879348
g132	11.0060468892045	9.11420216331779	8.90783130122145	10.2127692765675	10.433841488872	9.65474906433866
