"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g69",2017.6721402118,1.00234082954318,0.324188930652956,3.09184162310646,0.00198918947800807,0.00798477466524367
"g70",142.576090831961,0.283120184448535,0.648096371172426,0.436848896308989,0.662220935553848,0.740129280913124
"g71",980.628881639346,0.634301454111037,0.325469758515434,1.94887984986463,0.0513097749701783,0.111628136385502
"g72",976.674139254515,0.945489665106232,0.298622095212019,3.16617450706366,0.00154458100982499,0.0066305792489627
"g73",2617.87660566796,0.132413257696527,0.325775044836365,0.406456110728304,0.68440749886052,0.761938035840814
"g74",3696.88073157082,-2.7219216430885,0.895610481175791,-3.0391802019948,0.00237222911775881,0.00889585919159554
"g75",554.890886312999,0.878539314426524,0.285872464104944,3.07318620972187,0.00211786289596119,0.00826836884039643
"g76",3298.02016933006,-0.438141797662226,0.376111538927712,-1.16492516797374,0.244049284900005,0.371946771104286
"g77",3064.05562968014,-2.32053140524678,0.824841540599072,-2.81330569694806,0.00490350104613922,0.0164411505664668
"g78",752.459842170994,-1.43922346934139,0.332852156781484,-4.32391210337337,1.53286389470079e-05,0.00017474648399589
"g79",8724.07041265565,1.1119264376858,0.393326995880651,2.82697716996571,0.00469896778181807,0.015942926402597
"g80",739.079583314909,-0.97212893899377,0.373072154788647,-2.60573973832086,0.00916760921209782,0.0290307625049764
"g81",3106.92009374169,1.51133253352795,0.700536376035348,2.15739337060735,0.0309750273317432,0.0748125660131085
"g82",535.21340577678,0.79245592441741,0.358959223093426,2.20764887328486,0.0272687594079642,0.0675790994023462
"g83",588.124930001544,-0.757627753314162,0.483443145595274,-1.5671496435869,0.117079717672391,0.207252916376593
"g84",2766.46070449414,-0.767725660522892,0.288684284290611,-2.65939540979668,0.00782810308989637,0.025067521130567
"g85",1351.69678537225,-0.300722111690385,0.307650033299455,-0.977481160867203,0.328330999985427,0.452049927516167
"g86",760.589070266999,-1.27129002160264,0.497415541231155,-2.55579071465292,0.0105946819330451,0.0321893116979548
"g87",77.2174277769365,-0.986667642407431,0.55468648353394,-1.77878436143119,0.0752751220476054,0.150023844640332
"g88",484.462194594947,-0.255615299833719,0.443577766973141,-0.576258142011876,0.564440711008215,0.667492127125898
"g89",148.9482452334,-0.129005390399686,0.468577139980789,-0.275313026164646,0.783075757599141,0.842175814776435
"g90",2581.21579088753,-0.143083036236437,0.312103538853779,-0.45844733693799,0.646631089535512,0.725550631959137
"g91",2121.92708417127,-0.62621912718028,0.682743098124107,-0.91721048356383,0.359032354319344,0.474428717152927
"g92",269.961290406355,-1.14223438977849,0.413645723057388,-2.76138329519248,0.00575570830571704,0.018640646217379
"g93",133.952774890543,-0.26548516648827,0.494683214990727,-0.536677126781523,0.591490658387144,0.680647339329765
"g94",638.814555622107,-0.850687850611547,0.422990170160017,-2.01112912456035,0.0443118195926984,0.100229115745389
"g95",1912.33870157271,1.03230942611633,0.636856479449263,1.6209451570769,0.105029401071487,0.188728158961155
"g96",9353.99329381139,0.19838881188766,0.565217487214426,0.350995530703383,0.725591701346819,0.789288682762761
"g97",17926.796265402,3.05732552784381,0.840038117758303,3.63950809280237,0.000273159353233474,0.0019462603917885
"g98",48.9180523306648,3.49826041564952,0.857443748555499,4.07987162020004,4.50605796480127e-05,0.000458652328560129
"g99",976.427449047796,-0.898578213829198,0.284044316497263,-3.16351414775749,0.00155876775326491,0.0066305792489627
"g100",322.198981535043,-0.156278901783856,0.400580278754295,-0.390131292209005,0.696439464685078,0.77231613788034
"g101",6406.1481511036,-2.58366093537954,0.759001386235928,-3.40402663583072,0.00066400278168222,0.00350445912554505
"g102",2676.74598921353,2.44328287496151,0.359965461444162,6.78754807519363,1.14055259365945e-11,4.06321861491178e-10
"g103",56.7700284460741,-0.928698310527213,0.615159630777112,-1.50968669604346,0.131123387576337,0.226485851268219
"g104",2155.86648305076,0.629610840010097,0.687134748130372,0.916284384865135,0.359517755889286,0.474428717152927
"g105",868.359784277537,-0.860581501920303,0.501630797287538,-1.7155675181303,0.0862412278354174,0.165544156490283
"g106",1500.12888737173,0.390209664965739,0.42590454473037,0.916190422933315,0.359567027736955,0.474428717152927
"g107",1266.09705663977,-0.818450450978237,0.261253649216779,-3.1327809331349,0.00173158628337452,0.00715220421393825
"g108",2752.93949814787,0.87556319422837,0.471744490493082,1.85601148900161,0.0634519204753594,0.132969098054981
"g109",1106.30830760769,0.688520282013604,0.274607395557348,2.50728965480399,0.0121660968768313,0.0361181001030928
"g110",13168.7798468474,1.0068402986133,0.402339057812836,2.50246720784855,0.0123331050121508,0.036236442561474
"g111",26.9779836531469,-1.79577084100931,0.795217951371216,-2.25821215166585,0.0239324360272374,0.0608995023907379
"g112",1111.84525268291,0.976914081717733,0.303017368543232,3.22395408030334,0.00126433672025316,0.0056096407133087
"g113",8245.87563920636,-1.95494128403287,0.366249009346088,-5.33773808022929,9.41132796549086e-08,1.78815231344326e-06
"g114",222.273028730468,0.770040099350248,0.52949723242408,1.45428540924557,0.14586719398174,0.24598905493962
"g115",415.078858169283,0.443082376533793,0.557380401241544,0.794937130094354,0.426650074364407,0.550204847031023
"g116",240.08298155681,0.0236478808934327,0.358443291179751,0.0659738415401778,0.947398651496847,0.957477360555324
"g117",1685.50710556094,1.81141164312668,0.503654139523436,3.59653877726621,0.000322479529718857,0.0021373643248808
"g118",7598.46199440326,-1.36497604070388,0.24195552762833,-5.64143358940174,1.68640085876975e-08,4.00520203957816e-07
"g119",269.779259052446,-0.528094865816237,0.575510791676442,-0.917610709397674,0.358822709132053,0.474428717152927
"g120",1083.81368034649,-1.1037781914683,0.464355252151397,-2.37701239806033,0.0174535014793855,0.0464882983329426
"g121",676.076706777304,-3.19880150163111,0.683340381949392,-4.68112464319139,2.85305397868093e-06,4.78306108190626e-05
"g122",13511.6341632076,-0.431279112711482,0.571000489664462,-0.755304278223852,0.450066432283036,0.577787987390385
"g123",11110.6984106182,3.25271055356909,0.48218132465358,6.74582441762127,1.52160538996783e-11,4.81841706823147e-10
"g124",513.656488679047,1.24225066194043,0.421803457253477,2.94509359887469,0.0032285697798256,0.0116473719905101
"g125",989.882451823261,-0.767212693665204,0.461637707839412,-1.66193679726893,0.0965254476461989,0.178198163675742
"g126",544.302783537026,-1.55980233890934,0.44009129109038,-3.54426995145652,0.000393701913581741,0.00233760511189159
"g127",13731.772364208,-0.211173351244782,0.7958357836315,-0.265347896624064,0.790741470275765,0.847223003866891
"g128",692.805467300343,2.42815687264799,0.545771957619559,4.44903194227612,8.62581885102967e-06,0.000111743562388339
"g129",69863.9149449621,0.910529323201815,0.592954853179211,1.53557951051397,0.124641542601801,0.219276787910576
"g130",1406.00161066013,0.256693981623294,0.837831641316875,0.306378953675981,0.759316130910991,0.822833069618374
